username,tanggal_ulasan,komentar
Anies Puspa,2 tahun lalu,Restoran di indonesia dgn makanan sushi terenak
jodypriyo sambodo,2 tahun lalu,"Tempatnya keren resik ,reseptionis ,cashier ,Satpam ramah,hanya pesanan lama nunggunya ,klo bisa cook n asst cook edh Siapkan */ prepare utk sushi yg biasa"
Raffley Nugraha,2 tahun lalu,
Andramica Priastyo,2 tahun lalu,
Audrey Nareswari,2 tahun lalu,
mohammad aryo wibowo,2 tahun lalu,
Siti fahmi ramdani,2 tahun lalu,
Muhammad Anis,2 tahun lalu,
NS Setyo,2 tahun lalu,
nurul musabbihah,2 tahun lalu,
Thoriq Andi,2 tahun lalu,
Jhon Brengsek,2 tahun lalu,
Andre Bob,2 tahun lalu,Ingin badan Sehat sooooo penuh protein n gizi disinilah tempat nya
Rendi Akhmad,2 tahun lalu,
Naufal Fadhil Syafri,2 tahun lalu,
Allysa Dyah Cahya Imani,2 tahun lalu,
Pramagista R. Santoso,2 tahun lalu,"Tempatnya mantul, pelayanan semua lini kelas bintang 5 mulai dari petugas parkir, front office, pramusaji, kasir, semua topppp... Menu kooooomplitttt banget"
Pratama AW,2 tahun lalu,
Nurul Aisyah,2 tahun lalu,"Makanan enak & fresh, harga standar, pelayanan sangat baik, outlet berada dipinggir jalan sehingga tidak sulit untuk dicari"
detty herlianisy,2 tahun lalu,
merry Permatasari,2 tahun lalu,
하루두번,2 tahun lalu,"Ada juga sushi ala Indonesia, namun ada juga sushi yang mirip ala Korea. Salad salmonnya enak. Kalau makan sedikit, harganya sekitar 500.000 rupiah untuk dua orang."
Cerita MamaTan,2 tahun lalu,"Resto sushi yang komplit dan nyaman. Ada banyak menu yang bisa anda pilih melalui buku menu, juga ada makanan yang bisa anda ambil dari conveyor belt. Tempat duduk juga ada pilihannya mau di meja makan biasa atau di sushi bar. Selain itu …"
Daniel Christian,2 tahun lalu,Oke
Nydhia Krisma Sari,2 tahun lalu,
Lulu Muthoharoh,2 tahun lalu,🔥🔥🔥💜 …
Stiven Tafui,2 tahun lalu,Enak dan berkelas
Raymond Dharma,2 tahun lalu,"Salah satu restoran sushi terbaik di yogyakarta. Tidak hanya menyajikan sushi, mereka juga menyajikan banyak hidangan Jepang. Restoran memiliki suasana yang sangat nyaman dengan banyak tempat duduk dan area parkir. …"
Arum Nafingatunnisa',2 tahun lalu,Yoi
Momo eza,2 tahun lalu,"Salah satu trmpat makan sushi yg punya nama besar. Harganya terbilang paling mahal dibanding RM sushi lainya,tapi kadang promo juga.walau antrinya kudu sabar kalau pas promo."
Pradit Gudangdigital,2 tahun lalu,
Fitria Maliki,2 tahun lalu,
Muhammad Farid Widyanto,2 tahun lalu,
FAUZAN HANIF,2 tahun lalu,
miftah ita,2 tahun lalu,"Tempat oke, makanan ok, favv 👍 …"
Dinia Arikahsiwi,2 tahun lalu,
Dewi Wahyu Feba Emilia,2 tahun lalu,Aku suka itu
Youngky Alfi Andi,2 tahun lalu,nyaman pelayanan baik sekali
K. Rama,2 tahun lalu,"Pokoknya, makan sushi enak di sushi tei"
Yanti Abrizam,2 tahun lalu,
Alifia NH,2 tahun lalu,favorit sushi💘 …
Richardus Ari Kurniawan,2 tahun lalu,
Dani,2 tahun lalu,Karyawan nya ramah2.. Makanan enak sangat recommended
Deanna Ocha,2 tahun lalu,
Ric HD,2 tahun lalu,Layanan dan makanan luar biasa
Tyan Wijaya,2 tahun lalu,
Laurentia Liliani Herfangsyah,2 tahun lalu,
Muslika Linda,2 tahun lalu,"Sushi Tei pelayanannya emang paling the best, menu2nya fresh semua, yang lagi ultah tunjukin identitas langsung dapat free birthday sushi🥳 …"
koetjaj,2 tahun lalu,Restoran sushi terbaik di kota
Erick H Cho,2 tahun lalu,
Muhammad Ibkar Azki Himmawan,2 tahun lalu,
Christabella Fidelia Alim,2 tahun lalu,
tri puji astuti,2 tahun lalu,"Untuk rasa seperti sushi tei pada umumnya.
Lokasi dekat dari kostan, parkir luas, kapasitasnya tempat makannya lumayan besar. …"
eli setiowati,2 tahun lalu,
Michael Mukti,2 tahun lalu,
Bagas Dwi,2 tahun lalu,
Adya Rizky,2 tahun lalu,
Nanda Galih Wiranata [WatonIso],2 tahun lalu,Wenak poll buat lidah penikmat makanan jepang dan banyak pilihan menunya.
Evita Maulidya Winalda,2 tahun lalu,Itu selalu merupakan waktu yang menyenangkan untuk makan di sini. Pelayanan bagus. Lezat.
Satria Pradhana,2 tahun lalu,
Wulan Bila,2 tahun lalu,
fairy dust,2 tahun lalu,"Tempat yg cocok buat nongkrong sama keluarga, ataupun teman2. Sushinya lengkap, tapi sayang kamar mandinya seram -_-"
Ravenext,2 tahun lalu,
Vann.,2 tahun lalu,
N Baggaswara,2 tahun lalu,Tetap Enak....
Dewi Rahaditama,2 tahun lalu,"Best place and delicious sushi, cheese takoyaki i ever eaten..
Salah satu resto favoritku 😍 …"
Chasna Sinta,2 tahun lalu,
HAF,2 tahun lalu,"Tempatnya nyaman, dengan varian menu yg beragam... suka dengan semua menu unagi dan jg aburi salmonnya...
Kalau mau puas, min budget 300k ya utk 2 orang... …"
Hadi Prabowo,2 tahun lalu,Sushi tei satu2nya di kota Jogja
Ivana Castafiore,2 tahun lalu,Enak Worth it bangett
Riwi Nugraheni,2 tahun lalu,
Christian Aprianus,2 tahun lalu,
Jefriyanto Budikafa,2 tahun lalu,Sushinya enak"..🤤 recommended ❤👏🏼 …
Hevi Fitria,2 tahun lalu,
Angga Handoko,2 tahun lalu,
Farhat Basyaib,2 tahun lalu,
Alita Maheswari,2 tahun lalu,"Enak dan ramah, sayang antri"
PaperPen,2 tahun lalu,"Makanannya enak semua, bahannya fresh, tempatnya bersih, dan pelayanannya bagus banget, super ramah. Salmon belly sushi and tuna salad crispy were my favorite👍 …"
Ponti Almas Karamina,2 tahun lalu,Alhamdulillah halal~
luckyshiousmrf,2 tahun lalu,
Sindhutama Nasserie,2 tahun lalu,
Sijna Fatayani,2 tahun lalu,Pelayanan sgt baikk
Hugo sistha prabangkara,2 tahun lalu,
Alek Sander Gromyko Damanik,2 tahun lalu,Bersih dan nyaman
Citra Larasati YaFi,2 tahun lalu,Makan sushi sambil neraktir ayah ❤️🖤 Sushi di sini kata ayah lebih kecil daripada sushi di Jepang. Menurutku rasa sushi yang serba salmon itu memorable 🤭🤭🤭🤭🤭 Aku suka banget sama telur salmonnya... Dibiarin di mulut sedikit langsung lumer dan nagih banget 🖤❤️ …
Kevin Andrianto,2 tahun lalu,"Enak, porsinya cukup besar, tapi butuh penyegaran interior"
Bapak Indra,2 tahun lalu,Kalo memang driver gojek ga boleh menunggu di dalem kenapa resto mewah kalian ikut kerja sama sama gojek coba kalian pikir gojek itu bukan pengemis dan kita sebagai gojek beli nya lebih mahal dari orang yang makan di tempat trimakasih
Ira Fauzi,2 tahun lalu,Tidak diragukan lagi 👍👍 …
puspita rahayu,2 tahun lalu,"Asik, makanan enak, tempat bersih, pelayanan bagus, mungkin tambahan saja pelatihan untuk karyawan buat bahasa inggris biar kalau ada pelangan luar indo bisa layani dengan baik."
Julian Bangga M,2 tahun lalu,Mungkin kadang-kadang tapi itu bagus
Wahyu Supriyanto,2 tahun lalu,Suka bangeettt...
Fatimah Wijaya,2 tahun lalu,"Citarasanya agak manis mungkin krn di jogja, tp service nya masih oke kok"
siti fatimah,2 tahun lalu,"Tempatnya bersih, again aku gaabisin orderanku, tapi aku minta take away pdhal aku pesen paket asahi, sushi tei sunrise nya bener2 seger, pelayanan oke, protocol social distancing nya jg oke, satpam parkirnya jg ramah. Worth it sih, krn tempatnya jg dikota jdi lil bit expensive"
Hasna Hanina,2 tahun lalu,
shinta nike,2 tahun lalu,
Annisa Riani Artha,2 tahun lalu,
risa fajarwati,2 tahun lalu,Menu yang direkomendasikan: Salad
Nurbaitissalami,2 tahun lalu,
Taufik Masruri,2 tahun lalu,"Jangan tunggu lama, jangan ragukan rasa dan kehalalannya, Insya Allah. 👍 …"
Antonius Simon,2 tahun lalu,Harga wajar dan makanannya enak
robert samuel,2 tahun lalu,"Tempat bagus, harga super mahal, ajinomoto nya banyak, extra sakit kepala habis darisini. Rasa sushinya tidak klasik ,sudah terasimilasi dengan lidah setempat. Ramennya ngak banget kaya mie rebus rasa kecap asin"
raden rahmat,2 tahun lalu,
Robby Noor Cahyono,2 tahun lalu,Rasanya sesuai dengan yang asliJepang. mampu menjadi pengobat rindu masakan Kepang khususnya sushi. Sayang untuk Sukiyakinya tidak persis krn telor bukan telur mentah.
Traya Yogajati,2 tahun lalu,
sovi delianti,2 tahun lalu,
Ayu Anastasia,2 tahun lalu,
Aprilla Daru,2 tahun lalu,Sushi Original nih bos
Rafif Seto,2 tahun lalu,
Maria Agatha,2 tahun lalu,"Tempat makannya nyaman, pelayanannya bagus, rasanya enak"
christina martha,2 tahun lalu,Restoran sushi terbaik di Jogja
Aris Wibowo,2 tahun lalu,
Aris wibowo,2 tahun lalu,
Karioto Otokari,2 tahun lalu,"Nice, nyaman tempatnya. Prokes oke."
Arieshadi Setyanto,2 tahun lalu,Kenyang
Garuda Surya,2 tahun lalu,Lelet ... pesanan take away nunggu 1 jam 😎😎 …
Praba Mustika,2 tahun lalu,
Rizca Shafira,2 tahun lalu,
Fitri Achriyanti,2 tahun lalu,
Hansen Idden,2 tahun lalu,"Sushi enak, sangat luas, bersih, dan nyaman juga. Orang-orangnya sangat baik. Ketika saya meminta salah satu dari mereka untuk mengisi daya ponsel saya, dia dengan baik hati membantu saya."
JEHA,2 tahun lalu,"Pelayanan ramah, rasa enak, sushi terbaik di Yogaya"
Yoky Sembodo,2 tahun lalu,
Irawati Eviana,2 tahun lalu,
Mitta Agustina,2 tahun lalu,selalu rekomended
Situs Panesse,2 tahun lalu,Hmm... begitulah
Canisius Guntur HW,2 tahun lalu,Tempat yang bagus untuk memiliki waktu khusus bersama seluruh keluarga
Angel Berta,2 tahun lalu,Tetep jadi tempat favorite makan sushi
beniara gobeng,2 tahun lalu,
Julianto Bambang Hartanto,2 tahun lalu,Tempat yang istimewa
agus 87,2 tahun lalu,
faisal rahman,2 tahun lalu,Makanan enak sesuai harga
Albert Panesse,2 tahun lalu,Ya bagus
Erlina Hardiyanti,2 tahun lalu,
Rahma Widya,2 tahun lalu,"Suka ke sini sejak ngidam anak pertama. Sushi nya fresh, soal rasa blm ada tandingannya dg yg lain. Tempat sholat jg tersedia"
Rukmi Arimbi,2 tahun lalu,Bagus tapi bukan yang terbaik
Dolan Batang Channel,2 tahun lalu,
estika,2 tahun lalu,"Lokasi sangat strategis,, parkir luas, dekat dengan uny"
Agil Widanto Nugrohodi,2 tahun lalu,Oke
Lennz 05,2 tahun lalu,
Munaya Nasiri,2 tahun lalu,
Pumi Chan,2 tahun lalu,
Prima Yuliana,2 tahun lalu,
Rina Nugra,2 tahun lalu,"Sushi nya paling juara. Varian sushi lumayan banyak dan tiap variannya punya sensasi taste sendiri.
Tempat bersih, prokes bagus, pelayanan oke. …"
sulistiyani,2 tahun lalu,
Dessy soewardy,2 tahun lalu,
Rahma Octavia,2 tahun lalu,"Sudah dua kali makan di sushi tei, lokasinya sangat strategis, pelayanannya ramah, harga cukup terjangkau, pilihan menu sangat bervariasi dan rasanya sangat lezat serta enak, tempatnya bersih dan nyaman.."
Ayu Pratiwi,2 tahun lalu,
Nico H,2 tahun lalu,
"Sumekar Tanjung, M.A.",2 tahun lalu,
Alfian F,2 tahun lalu,"Rekomendasi banget buat yg pengen makan masakan jepang. Baik menu, tempat dan suasannya seperti restoran sushi di jepang."
Any Yuliani,2 tahun lalu,"Mahal, sesuai sih sama makananya, pernah kesini bbrpa kali....menurutku enak banget krn aku suka makanan jepang.pelayananya bagus, cepet.pegawainya ramah, tempatnya bersih."
Angel Lisca,2 tahun lalu,"Susinya komplit, rasanya enak gaess, dessert nya aplagi, adduuuh"
Harry Prasetyo,2 tahun lalu,👍👍👍 …
Imanuel Alberto,2 tahun lalu,"Sushi Tei telah mempertahankan standar kualitasnya di seluruh cabangnya: kualitas makanan dan layanan. Karena juga memiliki Aplikasi Seluler dan Sistem Reward, itu akan menambah nilai lebih bagi pelanggan"
melancholic sweet tooth,2 tahun lalu,
Melani Bornok,2 tahun lalu,
Dediprasetia Yogya,2 tahun lalu,
Ambar Widaningrum,2 tahun lalu,
Septian Abdul Gani,2 tahun lalu,"Kasir nya TIDAK RAMAH sama sekali. Ini bukan sekali aja ya sampai saya tulis ulasan disini.
Digaji berapa sih orang nya sampai gak bisa ngehargain orang lain."
Ayni Surya Negara,2 tahun lalu,
Endro Nb,2 tahun lalu,
Hendry Wibowo,2 tahun lalu,lezat dan harga terjangkau.
Renya Larasati,2 tahun lalu,"Sushi terbaik di jogja
Makanan lautnya segar dan enak. Suasananya sangat bagus dan bersih. Kadang-kadang bisa jadi ramai, tapi maksud saya siapa yang tidak ingin makan siang/makan malam sushi yang enak di hari mereka, bukan?"
Ojan Fauzan,2 tahun lalu,
Arnita Dewi Nurasri,2 tahun lalu,"Makanannya enak sekali.
Tempatnya nyaman tapi tiba-tiba seekor lalat datang ke mejaku saat aku setengah jalan makan hahahahah tidak apa-apa, asalkan aku makan makanan enak."
Andy Wiriawan,2 tahun lalu,
Duhita Maduraras,2 tahun lalu,Ya ampun. Ini adalah restoran sushi terbaik yang pernah saya cicipi sejauh ini. Mereka selalu menyajikan makanan segar. Harganya sepadan mengingat makanannya segar dan enak. Tempatnya bagus tapi kadang tidak ada koneksi untuk 3 penyedia. Secara keseluruhan 👍 …
kendy ardiyanto,2 tahun lalu,
Manggiardi Tirta,2 tahun lalu,"Sushi tei di jogja sama spt sushi tei di kota lain, rasanya ga usah ditanya, pasti enak, harganya juga tau lah ya wkwk. Tempatnya bagus ditambah ada aksen jogjanya."
Pradipta Wijaya,2 tahun lalu,"Enak sekali.
Ara ara kimochiiiiii 🍣🍱🍶🎌 …"
Bernadetha Aurelia,2 tahun lalu,"Pertama kali makan di Sushi Tei dan langsung nyobain menu kapal alias sushi porsi jumbo 👍 Rp700 ribu-an belum pajak. Worth it banget sumpah, varian sushi lengkap. Paling suka yg menu sushi mentah, suka banget. …"
Ridwan Andri Yogana,2 tahun lalu,
M‘ 0991,2 tahun lalu,"Aku kenyang🤤🤤, tapi rasanya luar biasa♪~ Aku makan banyak sushi berwarna-warni. Itu murah dan enak. 👍👍👍👍👍👍👍👍👍👍 …"
sara aulia rifaya,2 tahun lalu,"Seperti dulu, enak sekali 👍 …"
Estu Dimas Danang,2 tahun lalu,"Great food!!!!
Great services
Coba menu salad dengan salmon dan sushi tei dressing enak banget (kalau suka …"
Febryan Kurniawan,2 tahun lalu,Weekend rame banget nunggu makanan sekitar 20-40 menitan
sigit priyantomo,2 tahun lalu,
John Ambar,2 tahun lalu,Mantappu Djiwaaaaa..
Yohanes Afan,2 tahun lalu,
fildza hanifa,2 tahun lalu,
Ihsan Pestcare Yogyakarta,2 tahun lalu,Balik kesini terus pokoknya
yuni hendri,2 tahun lalu,Parkirnya nyaman
Yuda Irawan,2 tahun lalu,
Halimul Lathif,2 tahun lalu,"tempat enak makan bareng keluarga, cocok buat kamu yang suka makanan jepang"
Ticanina Febrita,2 tahun lalu,
Arief Romadhoni,2 tahun lalu,"enak, hati-hati jangan kalap mata...! bisa bungkus 😂 …"
Gehan,2 tahun lalu,
pika,2 tahun lalu,
Farihah Wahidati,2 tahun lalu,Terbaik
Tiara Mayang Sekar,2 tahun lalu,
satriyo widiyanto,2 tahun lalu,Nyaman tempat nya... tapi belum ada smooking area nya aja
Aryan Indranu,2 tahun lalu,Tempat yang bagus
Aeko Gocar,2 tahun lalu,Kuliner Jepang yg rekom di Jogja
Latifa Rahmat,2 tahun lalu,
Raysa R. Anggiani,2 tahun lalu,"Tempatnya nyaman, pilihan menunya banyak, terutama menu sushi-nya. Untuk harga memang relatif lebih mahal, tapi sebanding dengan rasanya, dan perlu siapkan uang lebih juga karena harga di menu belum termasuk pajak."
Dorty Hadi,2 tahun lalu,🤤🤤🤤🤤 …
fauzan norin,2 tahun lalu,
Masti Fatchiyah,2 tahun lalu,
Hendra “Henn” Utama,2 tahun lalu,"Tempat nyaman, santai & bersih. Kalau rasa makanan jangan diragukan lagi ⭐5"
Silvya Suryandari,2 tahun lalu,"Sushi fresh enakkkk walo agak pricey tp oke sesekali perlu dicobaaaa, kesukaan anak anakkk👍👍👍👍👍 …"
Lek Ndhol,2 tahun lalu,
Godzila and Cat,2 tahun lalu,Enak mahal sukaaaaaa
Dee Dat,2 tahun lalu,
Aprilia Rahmawati,2 tahun lalu,
dinda prilia,2 tahun lalu,Restoran Sushi terbaik di Jogja sejauh ini. Saya sudah kembali ke sini berkali-kali. Favoritku adalah Chuka Idako
Devy Andarwani,2 tahun lalu,"Best food, reasonable price, pegawai sampai tk parkir ramah"
Charlie Papa,2 tahun lalu,
Kartika Aulina F,2 tahun lalu,"Best sushi in town, belum pernah kecewa kalo makan sushi disini, good service and good taste, worth to buy"
Kabul Setiawan,2 tahun lalu,
mayliana hartanto,2 tahun lalu,Enak sushi nya.bisa request matang untuk anak²
Pramestia Ramadhani,2 tahun lalu,Sashimi salmonnya paling best 🥰 favourite payday self reward wkwk …
Sindx Sky,2 tahun lalu,
bayu triawan,2 tahun lalu,
Rio Andrika,2 tahun lalu,"Sudah gak diragukan lagi sih… sushi terenak jogja yang sudah di coba. Kemaren kesini pas promo all you can eat. Tapi sebelimnya juga sudah sering kesana, pokoknya jangan sampai ketinggalan kalau sushi tei ngadain all you can eat. Gak bakal …"
AL EDGE,2 tahun lalu,restoran Jepang.
jhonnychannel90,2 tahun lalu,
Bukhari Muslim,2 tahun lalu,Dingin
Kevin Thenedi,2 tahun lalu,
Radian Adi,2 tahun lalu,Makanannya enak semua terutama unagi dan sashimi nya luar biasa. Tempatnya juga nyaman terutama di lantai 2 hanya saja parkiran mobil kurang luas jadi agak sulit bila menggunakan mobil
Bang Dody,2 tahun lalu,Fasilitas tempat sholatnya tidak layak
Alfi Syafa Rutasana,2 tahun lalu,
Kasjaya Hadi,2 tahun lalu,
hafit setyabudi,2 tahun lalu,
Fikri Arsalan,2 tahun lalu,
Siti “Oen” Unsiya,2 tahun lalu,
Michael Arvino,2 tahun lalu,Tempatnya bagus dan makanan enak
Diana purnama sari,2 tahun lalu,
Asiya Mumtazah,2 tahun lalu,"Bersih, nyaman, pelayan ramah, tastenya menarik"
Yonathan Septian,2 tahun lalu,
joni sihotang,2 tahun lalu,salah satu depot sushi terenak dan terbaik yang pernah saya makan di daerah jogja
Pokijan Syah,2 tahun lalu,
Mitha Rachmayani,2 tahun lalu,
Hesti Widiastuti,2 tahun lalu,"Favoritku cawan mushi, tahu agaedashi, dan semua sushi enak 🍱😂 salmon cha han alias nasgor salmon atau nasi goreng salmon juga enak disini. Ingatlah bahwa tempat ini sebagian besar ramai berarti orang-orang mengantri untuk mendapatkan tempat duduk. …"
Melany Stefany,2 tahun lalu,
suhanda handaputra,2 tahun lalu,Bersih dan ramah dan baik hati enak juga sih bagi yang suma
christina sindudisastra,2 tahun lalu,
Andjar Trisnaningsih,2 tahun lalu,
pambudi raharjo,2 tahun lalu,"makan sushi di negara asalnya nggak semahal disini, kualitas makanan pun jauh lebih bagus di jepang sana.  harga nggak sebanding dengan rasa atau porsinya"
Farikha Kha,2 tahun lalu,Bagus🥰👍 …
Teguh Ari Prabowo,2 tahun lalu,"Lokasi strategis, dekat dengan kampus UNY. Parkiran cukup. Bangunan 3 lantai dan nyaman, wangi. Ada musholla. Pelayanan ramah dan cepat. Rasa enak. Harga ya sesuai lah yaa."
_ Raffi Andrian,2 tahun lalu,"Ada orang pintar pernah mengatakan, ""tak ada yg lebih nikmat dari daging yg segar"""
Mellia Savlona,2 tahun lalu,"Pelayanan bagus, makanan enak. 👌 …"
Putri S. H,2 tahun lalu,"Mantap, enak dan asik"
Robby Prasetyo Tantowibowo,2 tahun lalu,
Grace Margareta,2 tahun lalu,"Tempat luas dan bersih, protokol kesehatan terjaga, harga worth dengan makanannya. Menu beragam, parkir mobil dan motor tersedia"
Antoni Liem,2 tahun lalu,Lezat & segar
DikShi A'D,2 tahun lalu,Bagus
Yunida Ika,2 tahun lalu,Sangat senang
Teddy Teddy,2 tahun lalu,
Dhea Ayu Laksmithasari,2 tahun lalu,"Pas pandemi kesini, tetep prokes 😍 …"
Fieha Alfi hani,2 tahun lalu,Still love the vibe of Sushi Tei Jogja. Cuma agak sulit dapat spot Parkir di depan. Bisa parkir di samping tp harus muter dulu krn di portal
Yudi Rusmanto,2 tahun lalu,Makanannya sangat enak
Katarina Laksmi Maharani,2 tahun lalu,Biar mbaknya suka jutek tp gpp makanann enak koqq
Rosalia Nidyasari Wuwur,2 tahun lalu,"Pelayanan bagus, makanan enak, kadang ada promo jadi bsa lbh hemat"
Maristha Josef,2 tahun lalu,
Amalia Rahma Nurhermaya,2 tahun lalu,baru pertama kali ngerasain sashimi yang nggak bau amis❤️❤️
Siti Afiyah,2 tahun lalu,sushi terdebest deh ini mah. meski ada bbrp menu coba2 yg kurang recomen jg. tp menu2 andalanku dah gaada tandingannya deh
Yefta Alexander (Yefta Alexander),2 tahun lalu,Nyaman untuk bertemu 👍 …
yunias hend,2 tahun lalu,
Eko Adi,2 tahun lalu,Tempat nyaman tapi sayang pelayananya lama
Rendra Bhatara,2 tahun lalu,"Mirip dengan gerai Sushi Tei lainnya, tempat ini menawarkan pelayanan yang baik mulai dari area antrian hingga area tempat duduk Anda.
Saya tidak akan mengomentari makanannya karena secara umum tapi relatif oke. …"
Bryant Bernhard,2 tahun lalu,
novita purnamasari,2 tahun lalu,
Juni Trisnadi,2 tahun lalu,
Ghesa Ririan,2 tahun lalu,"Tempat makan sushi terbaik memang Sushi Tei. Semua menu terjaga kualitasnya, rasanya juga selalu juara, suasana di restonya sangat nyaman, staff ramah dan helpfull. Di Sushei Tei sini juga ada kaitenzushi (sushi dalam piring-piring yang …"
Avifah Ve,2 tahun lalu,
Klaudius Liasta,2 tahun lalu,"Siapa yang ga tau sushi tei kan ya? Untuk urusan rasa ga beda jauh sama cabang lain. Kenyamanan menurut gue dapet sih, cuma kemarin terakhir gue kesana ada kendala di nunggu makanan yang lama banget. Dan ternyata kejadian sama suka …"
JFG Badminton Official,2 tahun lalu,
Irfani Irmasanti,2 tahun lalu,
Catherine Ratih,2 tahun lalu,
Ilham Hanafi,2 tahun lalu,Naisu
Hazikri Jihaddin,2 tahun lalu,Tempatnya bagus enak makananya
retta_san,2 tahun lalu,Seruu bgtt dah makananya enak lagii
Indra Lesmana,2 tahun lalu,
Candra Partarini,2 tahun lalu,
Antonita Noti Nugraheni,2 tahun lalu,
Fiona Troyandi,2 tahun lalu,Pelayanannya ramah banget
